近几十年来，计算机硬件取得长足进步的主要原因是什么？,使用了超大规模集成电路。
在计算机处理器的四代发展历程中，近年来最先进的处理器中晶体管的集成数量已达到哪个数量级？,几十亿只以上。
使用计算机编程求解一元N次方程的整数解时，通常使用哪种方法？,区间扫描。
自动计算与人计算的关键差异在于什么？,自动计算依据算法通过计算机编程来实现。
为了获得较好的声音效果，数字编码的声音每秒钟通常需要取样大约多少次？,几万次。
一个尺寸为 800 × 600 的 RGB 编码的真彩色图像，在未压缩时需要多少字节来表示？,800 × 600 × 3 字节。
一个8位的二进制数，最多可以表示多少个不同的符号？,256个。
计算思维的含义是什么？,使用现成的软件或者依据特定算法通过编程解决现实问题。
将二进制数“111100”转换为十进制数是多少？,60。
在字长为8位的情况下，十进制数-12的二进制补码是什么？,11110100。
在字长为8位的情况下，十进制数-7的二进制补码是什么？,11111001。
在基本的逻辑运算中，哪种运算的规则是“输入中有1，输出就为1”？,或运算。
计算的自动化能够将算术运算转换为逻辑运算，而逻辑运算是通过什么来实现的？,由电子元件组成的电路。
两个二进制数1101和0110按位异或（XOR）的结果是什么？,1011。
一个逻辑表达式的值有多少种可能性？,两种（真或假）。
在一个特定的三输入与门电路中，要使输出端F为“1”，输入的条件是什么？,输入端a、b、c全为1。
在“小白鼠检验毒水瓶”实验中，用10只小白鼠检验1000瓶水（其中一瓶有毒），检测完毕后可能死亡的小白鼠数量是多少？,1到9只（具体数量取决于有毒水瓶的二进制编码中1的个数）。
在“小白鼠检验毒水瓶”实验中，用10只小白鼠检验1000瓶水，“给小白鼠喂水”这个动作总共大约发生多少次？,500到800次之间（接近 1000 * log2(1000) / 2）。
"在C语言中，下列哪个选项是合法的变量名：`int`, `#a`, `10_a`, `a_10`？",`a_10`。
关于编程语言中的指令，哪种说法是不正确的：低级指令_____通过抽象命名成高级的指令。,可以（原题不正确说法是“无法”）。
关于程序的执行方式，哪种说法是不正确的？,程序不一定只能按语句的顺序执行，可以通过分支和循环改变执行流程。
下列设备中，哪个不属于计算系统：计算机、无人机、吸尘器、5G通讯机站？,吸尘器。
解决同一问题的递归程序与迭代程序，在占用内存空间上通常有什么规律？,递归程序占用的内存空间通常较大。
在一个求 n! 的递归函数中，递归调用的核心语句应该是什么？,`return n*f(n-1);`
一个递归函数，其基准情况是 `if(n==100) return 100;`，递归步骤是 `return n+f(n-1);`，该函数的功能是求什么？,求 100+101+...+n 的值 (当n>=100时)。
一个数列递归定义为 f(1)=0; f(2)=1; f(n)=f(n-1)+f(n-2)，该数列的第6项是什么？,8 (斐波那契数列)。
在冯·诺伊曼体系结构中，运算器和控制器这两大部件位于计算机的哪个核心部分中？,CPU (中央处理器)。
在冯·诺伊曼体系结构中，与主机连接的具有扫描功能的打印机属于哪类设备？,输入/输出设备。
运算器中的ALU（算术逻辑单元）具有什么功能？,既可以进行算术运算，也可以进行逻辑运算。
下列设备中，哪个不属于计算机内存（内存储器）？,硬盘（属于外存）。
